Group Core Meaning,Word,Sense,Meaning,Source,,,,
COMPASSIONATE,mercy,,leniency and compassion shown toward offenders by a person or agency charged with administering justice,XLSX,,,,
COMPASSIONATE,solicitous,,full of anxiety and concern,XLSX,,,,
COMPASSIONATE,succor,,assistance in time of difficulty,XLSX,,,,
COMPASSIONATE,sympathetic,,of or relating to the sympathetic nervous system,XLSX,,,,
COMPASSIONATE,sympathy,,an inclination to support or be loyal to or to agree with an opinion,XLSX,,,,
COMPETENT / CAPABLE,competent,,"(adj, +ve) capably + skilled",BOTH,,,,
COMPETENT / CAPABLE,confident,,having or marked by confidence or assurance,XLSX,,,,
COMPLAIN,caterwaul,,the yowling sound made by a cat in heat,XLSX,,,,
COMPLAIN,complain,,"express complaints, discontent, displeasure, or unhappiness",XLSX,,,,
COMPLAIN,grievance,,"(noun, N) a formal complaint / grudge (noun) + complain",PDF,,,,
COMPLAIN,grouchiness,,complain,XLSX,,,,
COMPLAIN,grumble,,"(verb/noun, -ve) muttering (verb) + complain",BOTH,,,,
COMPLAIN,querulous,,"(adj, -ve) whiningly complaining + irritable",BOTH,,,,
COMPLEX,byzantine,,"(adj, -ve) excessively, maze-like + complex",PDF,,,,
COMPLEX,complex,,a conceptual whole made up of complicated and related parts,XLSX,,,,
COMPLEX,complexity,,the quality of being intricate and compounded,XLSX,,,,
COMPLEX,convoluted,,"(adj, -ve) confusingly twisted + complex",PDF,,,,
COMPLEX,intricacy,,marked by elaborately complex detail,XLSX,,,,
COMPLEX,intricate,,having many complexly arranged elements; elaborate,XLSX,,,,
COMPLEX,knotty,,making great mental demands; hard to comprehend or solve or believe,XLSX,,,,
COMPLEX,multifaceted,,"(adj, +ve) many-sidedly + diverse",BOTH,,,,
COMPOSURE,equanimity,,"(noun, +ve) composed steadiness (noun) + calm",BOTH,,,,
COMPOSURE,self-assurance,,freedom from doubt; belief in yourself and your abilities,XLSX,,,,
COMPREHENSIBLE / CLEAR,calculable,,capable of being calculated or estimated,XLSX,,,,
COMPREHENSIBLE / CLEAR,comprehensible,,capable of being comprehended or understood,XLSX,,,,
COMPREHENSIBLE / CLEAR,explicable,,"(adj, N) explainably + clear",BOTH,,,,
COMPREHENSIBLE / CLEAR,inferable,,comprehensible; clear,XLSX,,,,
COMPREHENSIBLE / CLEAR,intelligibility,,the quality of language that is comprehensible,XLSX,,,,
COMPREHENSIBLE / CLEAR,quantifiable,,capable of being quantified,XLSX,,,,
COMPREHENSIVE / EXHAUSTIVE,extensive,,large in spatial extent or range or scope or quantity,XLSX,,,,
COMPREHENSIVE / EXHAUSTIVE,far-reaching,,comprehensive; exhaustive,XLSX,,,,
COMPREHENSIVE / EXHAUSTIVE,systematic,,characterized by order and planning,XLSX,,,,
COMPREHENSIVE / THOROUGH,all-encompassing,,"(adj, +ve) totally + comprehensive / thorough",PDF,,,,
COMPREHENSIVE / THOROUGH,comprehensive,,an intensive examination testing a student's proficiency in some special field of knowledge,XLSX,,,,
COMPREHENSIVE / THOROUGH,comprehensiveness,,completeness over a broad scope,XLSX,,,,
COMPREHENSIVE / THOROUGH,encyclopedic,,"(adj, +ve) vast-knowledge + comprehensive / thorough",BOTH,,,,
COMPREHENSIVE / THOROUGH,exhaustive,,"(adj, +ve) leaving nothing out + comprehensive / thorough",BOTH,,,,
COMPREHENSIVE / THOROUGH,exhaustiveness,,comprehensive; thorough,XLSX,,,,
COMPREHENSIVE / THOROUGH,synoptic,,"(adj, N) summarizing overview + comprehensive / thorough",PDF,,,,
COMPREHENSIVE / THOROUGH,thorough,,"(adj, +ve) completely + comprehensive / thorough",BOTH,,,,
COMPREHENSIVE / THOROUGH,thoroughness,,conscientiousness in performing all aspects of a task,XLSX,,,,
COMPREHENSIVE / THOROUGH,wide-ranging,,including much,XLSX,,,,
CONCEAL / OBSCURE,cloak,,"(noun/verb, N) cover, disguise + conceal / obscure",PDF,,,,
CONCEAL / OBSCURE,conceal,,prevent from being seen or discovered,XLSX,,,,
CONCEAL / OBSCURE,disguise,,an outward semblance that misrepresents the true nature of something,XLSX,,,,
CONCEAL / OBSCURE,hide,,the dressed skin of an animal (especially a large animal),XLSX,,,,
CONCEAL / OBSCURE,mask,,a covering to disguise or conceal the face,XLSX,,,,
CONCEAL / OBSCURE,obfuscate,,"(verb, -ve) deliberately confuse + conceal / obscure",BOTH,,,,
CONCEAL / OBSCURE,obfuscation,,confusion resulting from failure to understand,XLSX,,,,
CONCEAL / OBSCURE,occlude,,"(verb, N) physically block + obstruct / hinder",BOTH,,,,
CONCEAL / OBSCURE,pretext,,something serving to conceal plans; a fictitious reason that is concocted in order to conceal the real reason,XLSX,,,,
CONCISE,brevity,,"(noun, +ve) shortness itself (noun) + concise",BOTH,,,,
CONCISE,concise,,expressing much in few words,XLSX,,,,
CONCISE,concision,,terseness and economy in writing and speaking achieved by expressing a great deal in just a few words,XLSX,,,,
CONCISE,laconic,,"(adj, +ve) impressively brief + quiet / reserved",BOTH,,,,
CONCISE,pithy,,"(adj, +ve) meaningfully + concise",PDF,,,,
CONCISE,succinctness,,terseness and economy in writing and speaking achieved by expressing a great deal in just a few words,XLSX,,,,
CONFINE,circumscribe,,"(verb, N) draw limits around + restrain",BOTH,,,,
CONFINE,confine,,place limits on (extent or access),XLSX,,,,
CONFINE,immure,,"(verb, -ve) wall in, imprison + confine",PDF,,,,
CONFINE,manacle,,"(noun/verb, -ve) shackle, handcuff + confine",PDF,,,,
CONFINE,quarantine,,"(noun/verb, N) isolate for safety + confine",PDF,,,,
CONFINE,sequester,,"requisition forcibly, as of enemy property",XLSX,,,,
CONFIRM / PROVE,affirm,,establish or strengthen as with new evidence or facts,XLSX,,,,
CONFIRM / PROVE,confirm,,establish or strengthen as with new evidence or facts,XLSX,,,,
CONFIRM / PROVE,corroborate,,"(verb, +ve) with supporting evidence + confirm / prove",BOTH,,,,
CONFIRM / PROVE,corroboration,,confirmation that some fact or statement is true through the use of documentary evidence,XLSX,,,,
CONFIRM / PROVE,prove,,be shown or be found to be,XLSX,,,,
CONFIRM / PROVE,substantiate,,"(verb, +ve) with solid proof + confirm / prove",BOTH,,,,
CONFIRM / PROVE,substantiation,,additional proof that something that was believed (some fact or hypothesis or theory) is correct,XLSX,,,,
CONFIRM / PROVE,validate,,declare or make legally valid,XLSX,,,,
CONFIRM / PROVE,validation,,the act of validating; finding or testing the truth of something,XLSX,,,,
CONFIRM / PROVE,verifiable,,capable of being verified,XLSX,,,,
CONFIRM / PROVE,verify,,confirm the truth of,XLSX,,,,
CONFLICT / DISCORD,acrimonious,,"(adj, -ve) bitterly + hostile / aggressive",BOTH,,,,
CONFLICT / DISCORD,contention,,a point asserted as part of an argument,XLSX,,,,
CONFLICT / DISCORD,discordance,,a harsh mixture of sounds,XLSX,,,,
CONFLICT / DISCORD,dissension,,disagreement among those expected to cooperate,XLSX,,,,
CONFLICT / DISCORD,schism,,"(noun, -ve) a formal split (noun) + conflict / discord",PDF,,,,
CONFLICT / DISCORD,strife,,"(noun, -ve) bitter conflict (noun) + conflict / discord",PDF,,,,
CONFORM / COMPLY,accede,,yield to another's wish or opinion,XLSX,,,,
CONFORM / COMPLY,adhere,,"(verb, N) stick to | faithfully follow (rules)",BOTH,,,,
CONFORM / COMPLY,concede,,admit (to a wrongdoing),XLSX,,,,
CONFORM / COMPLY,conform,,"be similar, be in line with",XLSX,,,,
CONFUSE / DISORIENT,disorient,,cause to be lost or disoriented,XLSX,,,,
CONFUSE / DISORIENT,mystery,,something that baffles understanding and cannot be explained,XLSX,,,,
CONFUSE / DISORIENT,mystification,,confusion resulting from failure to understand,XLSX,,,,
CONFUSE / DISORIENT,riddle,,a difficult problem,XLSX,,,,
CONFUSED,baffle,,a flat plate that controls or directs the flow of fluid or energy,XLSX,,,,
CONFUSED,befuddle,,be confusing or perplexing to; cause to be unable to think clearly,XLSX,,,,
CONFUSED,befuddled,,"(adj, -ve) muddledly + confused",PDF,,,,
CONFUSED,bewilder,,be a mystery or bewildering to,XLSX,,,,
CONFUSED,confound,,"(verb, -ve) baffle utterly (verb) + confused",BOTH,,,,
CONFUSED,confuse,,mistake one thing for another,XLSX,,,,
CONFUSED,disconcert,,cause to feel embarrassment,XLSX,,,,
CONFUSED,flummox,,be a mystery or bewildering to,XLSX,,,,
CONFUSED,flummoxed,,"(adj, -ve) completely bewildered + confused",PDF,,,,
CONFUSED,muddle,,a confused multitude of things,XLSX,,,,
CONFUSED,nonplussed,,"(adj, -ve) stopped-in-tracks perplexed + confused",PDF,,,,
CONFUSED,perplex,,be a mystery or bewildering to,XLSX,,,,
CONNECTED / INTERDEPENDENT,correlation,,a reciprocal relation between two or more things,GREG_MAT,,,,
CONNECTED / INTERDEPENDENT,interdependence,,a reciprocal relation between interdependent entities (objects or individuals or groups),XLSX,,,,
CONNECTED / INTERDEPENDENT,interdependent,,mutually dependent,XLSX,,,,
CONNECTED / INTERDEPENDENT,interrelate,,be in a relationship with,XLSX,,,,
CONNECTED / INTERDEPENDENT,intertwined,,"(adj, N) interconnected, entangled together",PDF,,,,
CONNECTED / INTERDEPENDENT,symbiosis,,the relation between two different species of organisms that are interdependent; each gains benefits from the other,XLSX,,,,
CONNECTED / INTERDEPENDENT,symbiotic,,used of organisms (especially of different species) living together but not necessarily in a relation beneficial to each,XLSX,,,,
CONNECTED / INTERDEPENDENT,synergy,,the working together of two things (muscles or drugs for example) to produce an effect greater than the sum of their individual effects,XLSX,,,,
CONSEQUENCE,consequence,,a phenomenon that follows and is caused by some previous phenomenon,XLSX,,,,
CONSEQUENCE,corollary,,a practical consequence that follows naturally,XLSX,,,,
CONSEQUENCE,outcome,,something that results,XLSX,,,,
CONSEQUENCE,ramification,,"(noun, N) a branching + consequence",BOTH,,,,
CONSEQUENCE,repercussion,,"(noun, -ve) an unwelcome after + consequence",PDF,,,,
CONSEQUENCE,upshot,,a phenomenon that follows and is caused by some previous phenomenon,XLSX,,,,
CONTAMINATE / CORRUPT,adulterate,,"(verb, -ve) by adding impurities + contaminate / corrupt",PDF,,,,
CONTAMINATE / CORRUPT,poison,,any substance that causes injury or illness or death of a living organism,XLSX,,,,
CONTAMINATE / CORRUPT,taint,,the state of being contaminated,XLSX,,,,
CONTAMINATE / CORRUPT,vitiate,,"(verb, -ve) spoil the validity of + contaminate / corrupt",BOTH,,,,
CONTEMPT / SCORN,contempt,,"(noun, -ve) looking-down + contempt / scorn",PDF,,,,
CONTEMPT / SCORN,disdain,,"(noun/verb, -ve) haughty + contempt / scorn",BOTH,,,,
CONTEMPT / SCORN,disdainful,,expressing extreme contempt,XLSX,,,,
CONTEMPT / SCORN,scorn,,"(noun/verb, -ve) open, mocking + contempt / scorn",PDF,,,,
CONTEMPT / SCORN,scornful,,expressing extreme contempt,XLSX,,,,
CONVENTION-DEFYING,heresy,,any opinions or doctrines at variance with the official or orthodox position,XLSX,,,,
CONVENTION-DEFYING,heterodox,,"(adj/noun, N) against orthodoxy + convention-defying",PDF,,,,
CONVENTION-DEFYING,iconoclast,,a destroyer of images used in religious worship,XLSX,,,,
CONVENTION-DEFYING,iconoclastic,,"(adj, N) tradition-attacking (often admired on GRE) + convention-defying",BOTH,,,,
CONVENTION-DEFYING,maverick,,someone who exhibits great independence in thought and action,XLSX,,,,
CONVENTION-DEFYING,radical,,"(adj/noun, N) fundamentally extreme + convention-defying",BOTH,,,,
CONVENTION-DEFYING,revolutionary,,a radical supporter of political or social revolution,XLSX,,,,
CONVENTION-DEFYING,subversion,,destroying someone's (or some group's) honesty or loyalty; undermining moral integrity,XLSX,,,,
CONVENTION-DEFYING,subversive,,a radical supporter of political or social revolution,XLSX,,,,
CONVERGE / MEET,converge,,be adjacent or come together,XLSX,,,,
CONVERGE / MEET,convergent,,tending to come together from different directions,XLSX,,,,
CONVINCING,cogent,,"(adj, +ve) logically + convincing",PDF,,,,
CONVINCING,compelling,,"(adj, +ve) grippingly + convincing",PDF,,,,
CONVINCING,persuasive,,intended or having the power to induce action or belief,XLSX,,,,
CORRUPT / MONEY-DRIVEN,corrupt,,corrupt morally or by intemperance or sensuality,XLSX,,,,
CORRUPT / MONEY-DRIVEN,cronyism,,favoritism shown to friends and associates (as by appointing them to positions without regard for their qualifications),XLSX,,,,
CORRUPT / MONEY-DRIVEN,mercenary,,"(adj/noun, -ve) purely profit-driven + corrupt / money-driven | also: hired soldier (noun)",BOTH,,,,
CORRUPT / MONEY-DRIVEN,nepotism,,favoritism shown to relatives or close friends by those in power (as by giving them jobs),XLSX,,,,
CORRUPT / MONEY-DRIVEN,nepotistic,,corrupt; money-driven,XLSX,,,,
CORRUPT / MONEY-DRIVEN,profitmongers,,corrupt; money-driven,XLSX,,,,
CORRUPT / MONEY-DRIVEN,venal,,"(adj, -ve) bribable + corrupt / money-driven",BOTH,,,,
CORRUPT / MONEY-DRIVEN,venality,,prostitution of talents or offices or services for reward,GREG_MAT,,,,
COUNTER / OPPOSE,adversarial,,counter; oppose,XLSX,,,,
COUNTER / OPPOSE,adversary,,someone who offers opposition,XLSX,,,,
COUNTER / OPPOSE,antagonist,,someone who offers opposition,GREG_MAT,,,,
COUNTER / OPPOSE,counteract,,act in opposition to,XLSX,,,,
COUNTER / OPPOSE,counterproductive,,tending to hinder the achievement of a goal,XLSX,,,,
COUNTER / OPPOSE,oppositional,,counter; oppose,XLSX,,,,
COURTEOUS / REFINED,chivalrous,,"(adj, +ve) gallantly + courteous / refined",BOTH,,,,
COURTEOUS / REFINED,civility,,formal or perfunctory politeness,XLSX,,,,
COURTEOUS / REFINED,comity,,"(noun, +ve) mutual courtesy (noun) + courteous / refined",BOTH,,,,
COURTEOUS / REFINED,courteous,,exhibiting courtesy and politeness,XLSX,,,,
COURTEOUS / REFINED,decorum,,"(noun, +ve) proper behavior (noun) + courteous / refined",PDF,,,,
COURTEOUS / REFINED,genteel,,marked by refinement in taste and manners,XLSX,,,,
COURTEOUS / REFINED,tact,,"(noun, +ve) diplomatic sensitivity (noun) + courteous / refined",PDF,,,,
COURTEOUS / REFINED,tactful,,having or showing a sense of what is fitting and considerate in dealing with others,XLSX,,,,
CRITICIZE,admonish,,"(verb, N) gently, warningly (mildest of the group) + criticize",BOTH,,,,
CRITICIZE,animadversion,,harsh criticism or disapproval,XLSX,,,,
CRITICIZE,berate,,"(verb, -ve) scoldingly, at length + criticize",PDF,,,,
CRITICIZE,castigate,,"(verb, -ve) harshly punishingly + criticize",BOTH,,,,
CRITICIZE,castigation,,a severe scolding,GREG_MAT,,,,
CRITICIZE,censorious,,harshly critical or expressing censure,XLSX,,,,
CRITICIZE,censure,,"(verb/noun, -ve) officially, blamingly + criticize | also: harsh criticism (noun)",BOTH,,,,
CRITICIZE,chastise,,"(verb, -ve) punishingly + criticize",BOTH,,,,
CRITICIZE,condemn,,express strong disapproval of,XLSX,,,,
CRITICIZE,decry,,"(verb, -ve) publicly, condemningly + criticize",BOTH,,,,
CRITICIZE,denounce,,"(verb, -ve) publicly and formally + criticize",BOTH,,,,
CRITICIZE,denunciation,,a public act of denouncing,XLSX,,,,
CRITICIZE,excoriate,,"(verb, -ve) brutally, skin-strippingly + criticize",BOTH,,,,
CRITICIZE,lambast,,beat with a cane,XLSX,,,,
CRITICIZE,lambaste,,"(verb, -ve) attackingly + criticize",PDF,,,,
CRITICIZE,objurgation,,"(noun, -ve) a harsh rebuke (noun) + criticize",PDF,,,,
CRITICIZE,rebuke,,an act or expression of criticism and censure,XLSX,,,,
CRITICIZE,reprehend,,express strong disapproval of,XLSX,,,,
CRITICIZE,reproach,,"(verb/noun, -ve) with disappointed blame + criticize",BOTH,,,,
CRITICIZE,scathing,,"(adj, -ve) witheringly harsh (adj) + criticize",BOTH,,,,
CRITICIZE,scold,,someone (especially a woman) who annoys people by constantly finding fault,XLSX,,,,
CRITICIZE,upbraid,,"(verb, -ve) sharply, scoldingly + criticize",PDF,,,,
CRITICIZE,vituperation,,abusive or venomous language used to express blame or censure or bitter deep-seated ill will,XLSX,,,,
CUNNING,artful,,"(adj, N) cleverly + cunning | also: skillful",PDF,,,,
CUNNING,crafty,,"(adj, -ve) slyly + cunning",PDF,,,,
CUNNING,cunning,,"(adj/noun, -ve) deceptively clever + cunning",BOTH,,,,
CUNNING,devious,,"(adj, -ve) deceitfully sneaky + cunning",BOTH,,,,
CUNNING,deviousness,,the quality of being oblique and rambling indirectly,XLSX,,,,
CUNNING,wily,,"(adj, -ve) trickily + cunning",PDF,,,,
CUT BACK,abbreviate,,reduce in scope while retaining essential elements,XLSX,,,,
CUT BACK,curtail,,"(verb, N) cutting short + cut back",BOTH,,,,
CUT BACK,curtailment,,the temporal property of being cut short,XLSX,,,,
CUT BACK,retrench,,"(verb, N) (esp. spending) + cut back",PDF,,,,
CUT BACK,retrenchment,,entrenchment consisting of an additional interior fortification to prolong the defense,XLSX,,,,
CUT BACK,truncate,,replace a corner by a plane,XLSX,,,,
DANGER,imperil,,pose a threat to; present a danger to,XLSX,,,,
DANGER,jeopardy,,a source of danger; a possibility of incurring loss or misfortune,GREG_MAT,,,,
DANGER,threaten,,pose a threat to; present a danger to,XLSX,,,,
DANGEROUS / RISKY,dangerous,,involving or causing danger or risk; liable to hurt or harm,XLSX,,,,
DANGEROUS / RISKY,fraught,,"(adj, -ve) tension-filled + distressed / upset",BOTH,,,,
DANGEROUS / RISKY,hazardous,,involving risk or danger,XLSX,,,,
DANGEROUS / RISKY,jeopardize,,"(verb, -ve) put at risk (verb) + dangerous / risky",BOTH,,,,
DANGEROUS / RISKY,malignant,,dangerous to health; characterized by progressive and uncontrolled growth (especially of a tumor),GREG_MAT,,,,
DANGEROUS / RISKY,peril,,a source of danger; a possibility of incurring loss or misfortune,XLSX,,,,
DANGEROUS / RISKY,perilous,,"(adj, -ve) gravely + dangerous / risky",BOTH,,,,
DANGEROUS / RISKY,risky,,involving risk or danger,XLSX,,,,
DEBATE / DISCUSSION,argumentation,,a discussion in which reasons are advanced for and against some proposition or proposal,XLSX,,,,
DEBATE / DISCUSSION,controversy,,a contentious speech act; a dispute where there is strong disagreement,XLSX,,,,
DEBATE / DISCUSSION,debate,,a discussion in which reasons are advanced for and against some proposition or proposal,XLSX,,,,
DEBATE / DISCUSSION,deliberation,,(usually plural) discussion of all sides of a question,XLSX,,,,
DEBATE / DISCUSSION,discursions,,debate; discussion,XLSX,,,,
DEBATE / DISCUSSION,parley,,a negotiation between enemies,XLSX,,,,
DECEIVE,delude,,be false to; be dishonest with,XLSX,,,,
DECEIVE,deluded,,be false to; be dishonest with,GREG_MAT,,,,
DECEIVE,dupe,,"(noun/verb, -ve) fool a victim + deceive | also: the gullible victim (noun)",PDF,,,,
DECEIVE,mislead,,lead someone in the wrong direction or give someone wrong directions,XLSX,,,,
DECEIVE,swindle,,"(verb, -ve) cheat out of money + deceive",PDF,,,,
DECREASE / LESSEN,abate,,"(verb, N) die down + decrease / lessen",BOTH,,,,
